 TITLE="SURFACE DATA."
 variables="z","Theta","P","U","V","W","T","M"
 ZONE T="POST", I=     1, J=   200, K=   120
 0.000000000D+00  0.139359891D+01  0.477396362D+01 -0.608684957D+00  0.173472348D-17  0.542101086D-19  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.145016543D+01  0.483301989D+01 -0.597588301D+00 -0.173472348D-17 -0.108420217D-18 -0.108420217D-18  0.100000000D+01
 0.000000000D+00  0.150922170D+01  0.488958642D+01 -0.586029768D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.157079633D+01  0.494371163D+01 -0.574459314D+00  0.867361738D-18  0.000000000D+00 -0.271050543D-19  0.100000000D+01
 0.000000000D+00  0.163271542D+01  0.499546097D+01 -0.563210368D+00  0.000000000D+00  0.000000000D+00  0.542101086D-19  0.100000000D+01
 0.000000000D+00  0.169448066D+01  0.504491355D+01 -0.552511096D+00 -0.867361738D-18  0.108420217D-18  0.108420217D-18  0.100000000D+01
 0.000000000D+00  0.175594083D+01  0.509215896D+01 -0.542501152D+00 -0.433680869D-18  0.000000000D+00  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.181695193D+01  0.513729365D+01 -0.533254087D+00  0.000000000D+00  0.000000000D+00 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.187738183D+01  0.518041905D+01 -0.524792671D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.193711409D+01  0.522163852D+01 -0.517105102D+00  0.000000000D+00  0.271050543D-19  0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.199605103D+01  0.526105509D+01 -0.510155559D+00  0.108420217D-18  0.542101086D-19  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.205411580D+01  0.529876822D+01 -0.503893495D+00  0.108420217D-18 -0.542101086D-19  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.211125381D+01  0.533487392D+01 -0.498260796D+00 -0.216840434D-18  0.108420217D-18 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.216742769D+01  0.536946465D+01 -0.493197679D+00  0.000000000D+00 -0.108420217D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.222261482D+01  0.540262901D+01 -0.488647848D+00 -0.216840434D-18 -0.108420217D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.227681021D+01  0.543445147D+01 -0.484561622D+00  0.216840434D-18  0.216840434D-18 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.233002581D+01  0.546501205D+01 -0.480899155D+00 -0.216840434D-18  0.000000000D+00 -0.325260652D-18  0.100000000D+01
 0.000000000D+00  0.238228952D+01  0.549438607D+01 -0.477627724D+00 -0.216840434D-18  0.000000000D+00 -0.108420217D-18  0.100000000D+01
 0.000000000D+00  0.243364488D+01  0.552264498D+01 -0.474728197D+00 -0.216840434D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.248414871D+01  0.554985558D+01 -0.472190261D+00 -0.216840434D-18 -0.216840434D-18  0.108420217D-18  0.100000000D+01
 0.000000000D+00  0.253387008D+01  0.557608068D+01 -0.469976872D+00 -0.216840434D-18  0.000000000D+00 -0.108420217D-18  0.100000000D+01
 0.000000000D+00  0.258287940D+01  0.560137892D+01 -0.468076676D+00  0.000000000D+00 -0.433680869D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.263124679D+01  0.562580528D+01 -0.466482550D+00  0.000000000D+00  0.216840434D-18 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.267904687D+01  0.564941094D+01 -0.465158731D+00 -0.433680869D-18  0.000000000D+00  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.272635727D+01  0.567224344D+01 -0.464077681D+00 -0.216840434D-18  0.000000000D+00 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.277325797D+01  0.569434593D+01 -0.463203579D+00  0.000000000D+00  0.433680869D-18  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.281982873D+01  0.571575844D+01 -0.462498844D+00 -0.433680869D-18  0.000000000D+00 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.286614689D+01  0.573651846D+01 -0.461925089D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.291227729D+01  0.575666071D+01 -0.461445034D+00  0.216840434D-18  0.000000000D+00 -0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.295827001D+01  0.577621760D+01 -0.461023688D+00 -0.216840434D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01
